date,year,month
31/01/2018,2018,1
28/02/2018,2018,2
31/03/2018,2018,3
30/04/2018,2018,4
31/05/2018,2018,5
30/06/2018,2018,6
31/07/2018,2018,7
31/08/2018,2018,8
30/09/2018,2018,9
31/10/2018,2018,10
30/11/2018,2018,11
31/12/2018,2018,12
31/01/2019,2019,1
28/02/2019,2019,2
31/03/2019,2019,3
30/04/2019,2019,4
31/05/2019,2019,5
30/06/2019,2019,6
31/07/2019,2019,7
31/08/2019,2019,8
30/09/2019,2019,9
31/10/2019,2019,10
30/11/2019,2019,11
31/12/2019,2019,12
31/01/2020,2020,1
29/02/2020,2020,2
31/03/2020,2020,3
30/04/2020,2020,4
31/05/2020,2020,5
30/06/2020,2020,6
31/07/2020,2020,7
31/08/2020,2020,8
30/09/2020,2020,9
31/10/2020,2020,10
30/11/2020,2020,11
31/12/2020,2020,12
31/01/2021,2021,1
28/02/2021,2021,2
31/03/2021,2021,3
30/04/2021,2021,4
31/05/2021,2021,5
30/06/2021,2021,6
31/07/2021,2021,7
31/08/2021,2021,8
30/09/2021,2021,9
31/10/2021,2021,10
30/11/2021,2021,11
31/12/2021,2021,12
31/01/2022,2022,1
28/02/2022,2022,2
31/03/2022,2022,3
30/04/2022,2022,4
31/05/2022,2022,5
30/06/2022,2022,6
31/07/2022,2022,7
31/08/2022,2022,8
30/09/2022,2022,9
31/10/2022,2022,10
30/11/2022,2022,11
31/12/2022,2022,12
31/01/2023,2023,1
28/02/2023,2023,2
31/03/2023,2023,3
30/04/2023,2023,4
31/05/2023,2023,5
30/06/2023,2023,6
31/07/2023,2023,7
31/08/2023,2023,8
30/09/2023,2023,9
31/10/2023,2023,10
30/11/2023,2023,11
31/12/2023,2023,12
31/01/2024,2024,1
29/02/2024,2024,2
31/03/2024,2024,3
30/04/2024,2024,4
31/05/2024,2024,5
30/06/2024,2024,6
31/07/2024,2024,7
31/08/2024,2024,8
30/09/2024,2024,9
31/10/2024,2024,10
30/11/2024,2024,11
31/12/2024,2024,12
31/01/2025,2025,1
28/02/2025,2025,2
31/03/2025,2025,3
30/04/2025,2025,4
31/05/2025,2025,5
30/06/2025,2025,6
31/07/2025,2025,7
31/08/2025,2025,8
30/09/2025,2025,9
31/10/2025,2025,10
30/11/2025,2025,11
31/12/2025,2025,12
31/01/2026,2026,1
28/02/2026,2026,2
31/03/2026,2026,3
30/04/2026,2026,4
31/05/2026,2026,5
30/06/2026,2026,6
31/07/2026,2026,7
31/08/2026,2026,8
30/09/2026,2026,9
31/10/2026,2026,10
30/11/2026,2026,11
31/12/2026,2026,12
31/01/2027,2027,1
28/02/2027,2027,2
31/03/2027,2027,3
30/04/2027,2027,4
31/05/2027,2027,5
30/06/2027,2027,6
31/07/2027,2027,7
31/08/2027,2027,8
30/09/2027,2027,9
31/10/2027,2027,10
30/11/2027,2027,11
31/12/2027,2027,12
31/01/2028,2028,1
29/02/2028,2028,2
31/03/2028,2028,3
30/04/2028,2028,4
31/05/2028,2028,5
30/06/2028,2028,6
31/07/2028,2028,7
31/08/2028,2028,8
30/09/2028,2028,9
31/10/2028,2028,10
30/11/2028,2028,11
31/12/2028,2028,12
31/01/2029,2029,1
28/02/2029,2029,2
31/03/2029,2029,3
30/04/2029,2029,4
31/05/2029,2029,5
30/06/2029,2029,6
31/07/2029,2029,7
31/08/2029,2029,8
30/09/2029,2029,9
31/10/2029,2029,10
30/11/2029,2029,11
31/12/2029,2029,12
31/01/2030,2030,1
28/02/2030,2030,2
31/03/2030,2030,3
30/04/2030,2030,4
31/05/2030,2030,5
30/06/2030,2030,6
31/07/2030,2030,7
31/08/2030,2030,8
30/09/2030,2030,9
31/10/2030,2030,10
30/11/2030,2030,11
31/12/2030,2030,12
,,
,,
,,